:START_ID,:END_ID,:TYPE
300,54012585,BELONGS_TO
301,54012585,BELONGS_TO
302,54012600,BELONGS_TO
303,54012600,BELONGS_TO
304,54012618,BELONGS_TO
305,54012634,BELONGS_TO
306,54012642,BELONGS_TO
307,54012706,BELONGS_TO
308,54012708,BELONGS_TO
309,54012712,BELONGS_TO
310,54012715,BELONGS_TO
311,54012731,BELONGS_TO
312,54012742,BELONGS_TO
313,54012743,BELONGS_TO
314,54012745,BELONGS_TO
315,54012757,BELONGS_TO
316,54012769,BELONGS_TO
317,54012777,BELONGS_TO
318,54012782,BELONGS_TO
319,54012797,BELONGS_TO
320,54012797,BELONGS_TO
321,54012798,BELONGS_TO
322,54012802,BELONGS_TO
323,54012811,BELONGS_TO
324,54012813,BELONGS_TO
325,54012838,BELONGS_TO
326,54012866,BELONGS_TO
327,54012903,BELONGS_TO
328,54012905,BELONGS_TO
329,54012923,BELONGS_TO
330,54012940,BELONGS_TO
331,54012946,BELONGS_TO
332,54012951,BELONGS_TO
333,54012954,BELONGS_TO
334,54012956,BELONGS_TO
335,54012956,BELONGS_TO
336,54012958,BELONGS_TO
337,54012968,BELONGS_TO
338,54012969,BELONGS_TO
339,54012974,BELONGS_TO
340,54012977,BELONGS_TO
341,54012986,BELONGS_TO
342,54013008,BELONGS_TO
343,54013025,BELONGS_TO
344,54013031,BELONGS_TO
345,54013041,BELONGS_TO
346,54013052,BELONGS_TO
347,54013065,BELONGS_TO
348,54013080,BELONGS_TO
349,54013080,BELONGS_TO
350,54013098,BELONGS_TO
351,54013117,BELONGS_TO
352,54013144,BELONGS_TO
353,54013145,BELONGS_TO
354,54013159,BELONGS_TO
355,54013189,BELONGS_TO
356,54013189,BELONGS_TO
357,54013207,BELONGS_TO
358,54013240,BELONGS_TO
359,54013263,BELONGS_TO
360,54013265,BELONGS_TO
361,54013267,BELONGS_TO
362,54013287,BELONGS_TO
363,54013289,BELONGS_TO
364,54013340,BELONGS_TO
365,54013348,BELONGS_TO
366,54013367,BELONGS_TO
367,54013374,BELONGS_TO
368,54013395,BELONGS_TO
369,54013404,BELONGS_TO
370,54013417,BELONGS_TO
371,54013452,BELONGS_TO
372,54013486,BELONGS_TO
373,54013486,BELONGS_TO
374,54013498,BELONGS_TO
375,54013523,BELONGS_TO
376,54013539,BELONGS_TO
377,54013551,BELONGS_TO
378,54013556,BELONGS_TO
379,54013558,BELONGS_TO
380,54013573,BELONGS_TO
381,54013574,BELONGS_TO
382,54013576,BELONGS_TO
383,54013583,BELONGS_TO
384,54013591,BELONGS_TO
385,54013594,BELONGS_TO
386,54013637,BELONGS_TO
